sub_struct	struct_verdict	member	dims	proposed_flat_home	note
prev	FLATTEN	logP_start	(json)	star%logP_start	
prev	FLATTEN	logT_start	(json)	star%logT_start	
prev	FLATTEN	logR_start	(json)	star%logR_start	
prev	FLATTEN	luminosity_lsun_start	(json)	star%luminosity_lsun_start	
prev	FLATTEN	logRho_start	(json)	star%logRho_start	
prev	FLATTEN	xa_start	(15,json)	star%xa_start	
prev	FLATTEN	old_shell_mass	(json)	star%old_shell_mass	MISNOMER (holds log-mass coords of pre-rezoning grid) -- rename rezone_log_mass_prev?
prev	FLATTEN	convective_flag_start	(json)	star%convective_flag_start	
prev	FLATTEN	cz_flag_start	(json)	star%cz_flag_start	
prev	FLATTEN	log_Teff_start		star%log_Teff_start	
prev	FLATTEN	nz_start		star%nz_start	
diag	FLATTEN	sesum	(json)	star%sesum	propose eps_nuc_total? QUERY
diag	FLATTEN	seg	(7,json)	star%seg	eps channels; propose eps_channels or split -- QUERY
diag	FLATTEN	sbeta	(json)	star%sbeta	propose beta_gas? QUERY
diag	FLATTEN	seta	(json)	star%seta	propose eta_degeneracy? QUERY
diag	FLATTEN	locons	(json)	star%locons	propose convergence_flag? QUERY
diag	FLATTEN	so	(json)	star%so	O16 diagnostic; cryptic -- QUERY
diag	FLATTEN	del_grad	(3,json)	star%del_grad	split into gradr/gradT/grada (MESA, 3 arrays) or keep 2-D? QUERY
diag	FLATTEN	sfxion	(3,json)	star%sfxion	ionization fractions -- propose fxion
diag	FLATTEN	svel	(json)	star%svel	propose conv_vel (MESA)? QUERY
diag	FLATTEN	scp	(json)	star%scp	possible duplicate of thermo%cp -- investigate before flatten
turnover	FLATTEN	convective_turnover_timescale		star%convective_turnover_timescale	KEEP (wind/burn consumers documented)
turnover	FLATTEN	convective_turnover_timescale_old		star%convective_turnover_timescale_old	
turnover	FLATTEN	pphot		star%pphot	
turnover	FLATTEN	pphot0		star%pphot0	
turnover	FLATTEN	fracstep		star%fracstep	
light_burn	FLATTEN	rate_li6	(json)	star%rate_li6	
light_burn	FLATTEN	rate_li7	(json)	star%rate_li7	
light_burn	FLATTEN	rate_be9	(json)	star%rate_be9	
light_burn	FLATTEN	rate_li6_start	(json)	star%rate_li6_start	
light_burn	FLATTEN	rate_li7_start	(json)	star%rate_li7_start	
light_burn	FLATTEN	rate_be9_start	(json)	star%rate_be9_start	
light_burn	FLATTEN	pressure_scale_height_start		star%pressure_scale_height_start	
light_burn	FLATTEN	pressure_scale_height_end		star%pressure_scale_height_end	
light_burn	FLATTEN	cz_base_radius_prev		star%cz_base_radius_prev	
light_burn	FLATTEN	log_rate_li6_prev		star%log_rate_li6_prev	
light_burn	FLATTEN	log_rate_li7_prev		star%log_rate_li7_prev	
light_burn	FLATTEN	log_rate_be9_prev		star%log_rate_be9_prev	
light_burn	FLATTEN	envelope_cz_base_zone_prev		star%envelope_cz_base_zone_prev	
light_burn	FLATTEN	deuterium_burning_rate	(json)	star%deuterium_burning_rate	
light_burn	FLATTEN	deuterium_burning_rate_start	(json)	star%deuterium_burning_rate_start	
light_burn	FLATTEN	accreted_mass_fraction		star%accreted_mass_fraction	
light_burn	FLATTEN	jcz		star%jcz	
engeb	FLATTEN	alpha_capture_energy		star%alpha_capture_energy	
engeb	FLATTEN	neutrino_loss_rate		star%neutrino_loss_rate	
engeb	FLATTEN	be7_mass_fraction		star%be7_mass_fraction	
engeb	FLATTEN	he3_he3_energy_rate		star%he3_he3_energy_rate	
engeb	FLATTEN	he3_burning_energy_rate		star%he3_burning_energy_rate	
engeb	FLATTEN	he3_he3_luminosity_zone	(json)	star%he3_he3_luminosity_zone	
engeb	FLATTEN	he3_burning_luminosity_zone	(json)	star%he3_burning_luminosity_zone	
flux	FLATTEN	neutrino_flux	(10)	star%neutrino_flux	
flux	FLATTEN	neutrino_flux_total	(10)	star%neutrino_flux_total	
flux	FLATTEN	cl37_snu_rate		star%cl37_snu_rate	
flux	FLATTEN	ga71_snu_rate		star%ga71_snu_rate	
mix_phys	QUERY-NESTED	amum	(json)	(struct-level decision)	
mix_phys	QUERY-NESTED	cpm	(json)	(struct-level decision)	
mix_phys	QUERY-NESTED	delm	(json)	(struct-level decision)	
mix_phys	QUERY-NESTED	del_adiabatic_mix	(json)	(struct-level decision)	
mix_phys	QUERY-NESTED	del_radiative_mix	(json)	(struct-level decision)	
mix_phys	QUERY-NESTED	esumm	(json)	(struct-level decision)	
mix_phys	QUERY-NESTED	om	(json)	(struct-level decision)	
mix_phys	QUERY-NESTED	qdtm	(json)	(struct-level decision)	
mix_phys	QUERY-NESTED	thdifm	(json)	(struct-level decision)	
mix_phys	QUERY-NESTED	velm	(json)	(struct-level decision)	
mix_phys	QUERY-NESTED	viscm	(json)	(struct-level decision)	
