group	legacy	type	default	proposed_name	status	mesa_note	doc
control	cmixla	real(50)	0.0*	mixing_length_alpha	canonical	mesa: mixing_length_alpha	
control	calsolage	real	0.0*	target_solar_age	canonical		
control	calsolzx	real	0.0*	target_solar_zx	canonical		
control	descrip	string(2)	''*	run_description	proposed		Per-run description strings echoed in output headers
control	endage	real(50)	0.0*	max_age	canonical	mesa: max_age	former common/sett/: target_end_age/timestep_override/ central_deuterium_stop/central_hydrogen_stop/central_helium_stop are NAMELIST /physics/ values (core/parmin.f90's e
control	flaol	string	''*	laol_opacity_table_file	proposed		LAOL 1989 opacity table
control	fpurez	string	''*	pure_z_opacity_table_file	proposed		Pure-Z opacity table (metal diffusion support)
control	flaol2	string	''*	laol_opacity_table2_file	proposed		LAOL 1989 opacity table, second Z
control	fopal2	string	''*	opal92_opacity_table2_file	proposed		OPAL 1992 opacity table, second Z
control	flast	string	''*	last_model_file	proposed		Path for the final model written at end of job
control	ffirst	string	''*	first_model_file	proposed		Starting model read when read_first_model is set for a run
control	ffermi	string	''*	fermi_table_file	proposed		Fermi-Dirac integral table (Yale/Prather degenerate-electron EOS)
control	fdebug	string	''*	debug_output_file	proposed		Debug output stream
control	ftrack	string	''*	track_output_file	proposed		Evolution track (.track) output path
control	fshort	string	''*	short_output_file	proposed		Model summary (.short) output path
control	fstch	string	''*	stored_change_file	unused		DEAD: referenced nowhere (functional-ref scan incl. parmin internals and echoes); legacy path only
control	fmilne	string	''*	milne_output_file	verified		Milne-format output file (opened when the Milne stream is active)
control	fmodpt	string	''*	model_print_file	proposed		Per-model print stream (rotational-mixing composition changes etc.)
control	fstor	string	''*	store_output_file	proposed		Full stored-model (.store) output path
control	fpmod	string	''*	pulse_model_file	proposed		Pulsation (oscillation-code) model output
control	fpatm	string	''*	pulse_atm_file	proposed		Pulsation output: atmosphere part
control	fpenv	string	''*	pulse_env_file	proposed		Pulsation output: envelope part
control	fdyn	string	''*	dynamics_file	verified		Opened on the dynamics unit (formatted, STATUS=OLD)
control	flldat	string	''*	ll_data_file	proposed		Livermore opacity auxiliary data file
control	fsnu	string	''*	neutrino_output_file	proposed		Solar neutrino flux (.snu) output path
control	fscomp	string	''*	surface_composition_file	verified		Surface-composition output file
control	fkur	string	''*	kurucz_atm_table_file	proposed		Kurucz model-atmosphere boundary-condition table
control	fmhd1	string	''*	mhd_table_file_1	proposed		MHD EOS table 1 of 8
control	fmhd2	string	''*	mhd_table_file_2	proposed		MHD EOS table 2 of 8
control	fmhd3	string	''*	mhd_table_file_3	proposed		MHD EOS table 3 of 8
control	fmhd4	string	''*	mhd_table_file_4	proposed		MHD EOS table 4 of 8
control	fmhd5	string	''*	mhd_table_file_5	proposed		MHD EOS table 5 of 8
control	fmhd6	string	''*	mhd_table_file_6	proposed		MHD EOS table 6 of 8
control	fmhd7	string	''*	mhd_table_file_7	proposed		MHD EOS table 7 of 8
control	fmhd8	string	''*	mhd_table_file_8	proposed		MHD EOS table 8 of 8
control	fiso	string	''*	isochrone_file	verified		Isochrone output file
control	fatm	string	''*	atm_table_file	proposed		Atmosphere P(T) boundary-condition table
control	fkur2	string	''*	kurucz_castelli_atm_table_file	proposed		Castelli-Kurucz model-atmosphere table
control	fallard	string	''*	allard_atm_table_file	proposed		Allard NextGen model-atmosphere table
control	fscvh	string	''*	scv_h_table_file	proposed		Saumon-Chabrier-Van Horn EOS: hydrogen table
control	fscvhe	string	''*	scv_he_table_file	proposed		SCV EOS: helium table
control	fscvz	string	''*	scv_z_table_file	proposed		SCV EOS: metals table
control	fopale	string	''*	opal_eos_table_file	proposed		OPAL 1995/2001 EOS table
control	fliv95	string	''*	opal95_opacity_table_file	proposed		OPAL/Livermore 1995 opacity tables
control	fmonte1	string	''*	monte_carlo_file1_path	canonical		former common/iomonte/: monte_carlo_file1_path/monte_carlo_file2_path (originally fmonte1/fmonte2) are NAMELIST values with different canonical spellings, kept local in c
control	fmonte2	string	''*	monte_carlo_file2_path	canonical		former common/iomonte/: monte_carlo_file1_path/monte_carlo_file2_path (originally fmonte1/fmonte2) are NAMELIST values with different canonical spellings, kept local in c
control	ipver	integer	1	pulsation_file_version	canonical		
control	itrver	integer	1	track_file_version	canonical		former common/track/: track_file_version (originally itrver) is a NAMELIST value with a different canonical spelling, kept local in core/parmin.f90 and copy-assigned.
control	kindrn	integer(50)	0*	run_kind	verified		Per-run kind card: 1 = evolve, 2 = rescale (zero timestep, MS/CHeB), 3 = rescale and evolve (pre-MS)
control	ldebug	logical	.false.*	write_debug_output	proposed		Enable the debug output stream
control	lcorr	logical	.false.*	write_correction_output	verified		crrect: print solver correction diagnostics
control	lmilne	logical	.false.*	write_milne_output	verified		Gate the Milne-format blocks in putstore/wrtout
control	ltrack	logical	.false.*	write_track_output	proposed	~ MESA history	Write the .track evolution file
control	lstore	logical	.false.*	write_store_output	proposed	~ MESA profiles	Write full stored models (.store)
control	lfirst	logical(50)	.false.*	first_call_flag	canonical		
control	lstpch	logical	.false.*	store_final_model_flag	proposed		Store the last model of each run (with write_store_output)
control	lscrib	logical	.false.*	scribe_flag	verified		Echoed in the .short header (LINE 3 flags); no other functional use
control	lstch	logical	.false.*	suppress_store_profiles	verified		Suppress per-model structure blocks in the .store stream (also disables atm profile)
