current_path	proposed_path	subroutine_rename	verdict	rationale
core/chkcal.f90	core/check_solar_calibration.f90	chkcal -> check_solar_calibration	PROPOSE	solar-calibration Newton verdict
core/chkscal.f90	core/check_star_calibration.f90	chkscal -> check_star_calibration	PROPOSE	star (Teff/L target) calibration verdict
core/coefft.f90	core/henyey_coefficients.f90	coefft -> henyey_coefficients	PROPOSE	builds the Henyey difference-equation coefficients per shell
core/crrect.f90	core/henyey_correct.f90	crrect -> henyey_correct	PROPOSE	one corrector pass: coefficients -> eliminate -> solve -> apply
core/hsolve.f90	core/henyey_solve.f90	hsolve -> henyey_solve	PROPOSE	backward-sweep solve of the eliminated system
core/physic.f90	core/shell_physics.f90	physic -> shell_physics	PROPOSE	per-shell EOS + opacity + gradients evaluation
core/qatm.f90	core/atmosphere_derivs.f90	qatm -> atmosphere_derivs	PROPOSE	dP/dtau integrand callback for the atmosphere integration
core/qenv.f90	core/envelope_derivs.f90	qenv -> envelope_derivs	PROPOSE	envelope ODE integrand callback
core/starin.f90	core/read_starting_model.f90	starin -> read_starting_model	PROPOSE	reads (and rescales) the kind card's starting model
core/getnewenv.f90	core/rebuild_envelope.f90	getnewenv -> rebuild_envelope	PROPOSE	reconstructs envelope zones after envelope-mass change
core/surfbc.f90	core/surface_bc.f90	surfbc -> surface_bc	KEEP-OK	already readable; rename optional
core/turnover/gettau.f90	core/turnover/turnover_timescale.f90	gettau -> compute_turnover_timescale	PROPOSE	computes tau_conv (wind/burn consumer)
core/turnover/taucal.f90	core/turnover/turnover_from_model.f90	taucal -> turnover_from_model	QUERY	interior-structure variant; confirm intent before naming
core/turnover/tauint.f90	core/turnover/turnover_from_envelope.f90	tauint -> turnover_from_envelope	QUERY	envelope-integration variant
core/turnover/tauintnew.f90	core/turnover/turnover_from_envelope_new.f90	tauintnew -> turnover_from_envelope_new	QUERY	newer variant (use_new_turnover_timescale)
core/turnover/calcad.f90	core/turnover/acoustic_depths.f90	calcad -> compute_acoustic_depths	PROPOSE	acoustic-depth diagnostics
io/alprint.f90	io/print_allard_tables.f90	alprint -> print_allard_tables	PROPOSE	AL = Allard atmosphere tables; debug echo
io/pindex.f90	io/select_print_shells.f90	pindex -> select_print_shells	PROPOSE	builds the shell-index list for printing
io/wrtmil.f90	io/write_milne.f90	wrtmil -> write_milne	PROPOSE	Milne invariants U/V to .milne
io/wrtlst.f90	io/write_last_model.f90	wrtlst -> write_last_model	PROPOSE	.last/.store model writer
io/wrtmod.f90	io/write_pulsation_model.f90	wrtmod -> write_pulsation_model	PROPOSE	pulse-model + sound-speed output (fresh env/atm integration)
io/wrtout.f90	io/write_legacy_output.f90	wrtout -> write_legacy_output	PROPOSE	the legacy per-model .short/.track driver
io/wrthead.f90	io/write_output_headers.f90	wrthead -> write_output_headers	PROPOSE	run headers for all output files
io/wrtmonte.f90	io/write_monte_carlo_model.f90	wrtmonte -> write_monte_carlo_model	PROPOSE	MC per-run model + summary line
io/putstore.f90	io/write_store_model.f90	putstore -> write_store_model	PROPOSE	verbose .store model writer
io/putmodel2.f90	io/write_model2.f90	putmodel2 -> write_model2	PROPOSE	MODEL2-format writer
io/getmodel2.f90	io/read_model2.f90	getmodel2 -> read_model2	PROPOSE	MODEL2-format reader
io/putyrec7.f90	io/write_yrec7.f90	putyrec7 -> write_yrec7	PROPOSE	YREC7-format writer
io/getyrec7.f90	io/read_yrec7.f90	getyrec7 -> read_yrec7	PROPOSE	YREC7-format reader
io/stitch.f90	io/write_stitched_profile.f90	stitch -> write_stitched_profile	PROPOSE	interior+envelope+atmosphere profile splice for .store
io/parmin.f90	io/read_namelists.f90	parmin -> read_namelists	QUERY	PARameter INput; historic name, heavily referenced in docs
io/pdist.f90	io/open_pulse_files.f90	pdist -> open_pulse_files	QUERY	HR-path-length gate that opens/closes pulse file sets
mixing/bursmix.f90	mixing/burn_settle_mix.f90	bursmix -> burn_settle_mix	PROPOSE	alternates burning+settling+mixing substeps
mixing/bsrotmix.f90	mixing/burn_mix_substeps.f90	bsrotmix -> burn_mix_substeps	QUERY	sequential substep burn/mix with step-doubling; confirm BS meaning
mixing/convec.f90	mixing/find_convection_zones.f90	convec -> find_convection_zones	PROPOSE	CZ boundaries with/without overshoot
mixing/hsubp.f90	mixing/pressure_scale_height.f90	hsubp -> pressure_scale_height	PROPOSE	H_P at a CZ edge (H-sub-P)
mixing/kemcom.f90	mixing/solve_composition.f90	kemcom -> solve_composition	PROPOSE	implicit nuclear-abundance solve from engeb rates
mixing/mixcz.f90	mixing/homogenize_convection_zones.f90	mixcz -> homogenize_convection_zones	PROPOSE	averages composition within each CZ
mixing/oversh.f90	mixing/overshoot_boundaries.f90	oversh -> overshoot_boundaries	PROPOSE	overshoot-region edges via H_P
mixing/sconvec.f90	mixing/semiconvection.f90	sconvec -> semiconvection	PROPOSE	semiconvective mixing test
mixing/tpgrad.f90	mixing/temperature_gradients.f90	tpgrad -> temperature_gradients	PROPOSE	rad/ad gradients + MLT (the convection kernel)
rotation/getw.f90	rotation/evolve_angular_momentum.f90	getw -> evolve_angular_momentum	PROPOSE	W = omega; the AM-evolution driver
